Drug	Original Target	Source	Target	Trade name	Type	Use	Tissue	Tissue Hits	Supporting Evidence	Notes	
Abituzumab	CD51	humanized	ITGAV		mab	cancer	prostate	Prostate, Colon-Small_intestine	Abituzumab is a humanized IgG2 monoclonal antibody (mAb) targeted at CD51 (an integrin) currently in development by Merck KGaA Darmstadt, Germany in an attempt to prevent bone lesion metastases in castration-resistant prostate cancer.[8] Cetixumab, a monoclonal antibody, that targets epidermal growth factor receptor (EGFR), and irinotecan, a topoisomerase I inhibitor, can be used in combination as standard of care for treating colorectal cancer.[9][10][8] The Phase II portion of the trial sought to compare the efficacy of Abituzumab, cetuximab, and irinotecan compared to cetuximab and irinotecan in patients with KRAS (exon 2) wild-type metastatic colorectal cancer.Based on the positive results of the Phase I trial, an additional Phase II clinical trial investigating Abituzumab's ability to extend progression free survival (PFS) in metastatic castration-resistant prostate cancer was conducted.[11] This trial utilized Abituzumab in combination with luteinizing hormone antagonist/agonist treatment every three weeks in patients with confirmed bone lesions in metastatic castration-resistant prostate cancer. During this study, the researchers did not see an overall improvement in prostate cancer, but they did observe a partial response in relation to the bone lesions. However, further study is warranted to determine the efficacy of Abituzumab in treating bone lesions in metastatic castration-resistant prostate cancer. "Differential Effect on Bone Lesions of Targeting Integrins: Randomized Phase II Trial of Abituzumab in Patients with Metastatic Castration-Resistant Prostate Cancer". "Abituzumab combined with cetuximab plus irinotecan versus cetuximab plus irinotecan alone for patients with KRAS wild-type metastatic colorectal cancer: the randomised Phase I/II POSEIDON trial"		
Adecatumumab[6]	EpCAM	human	EPCAM		mab	prostate and breast cancer	prostate, breast	Prostate, Breast, Colon-Small_intestine	Adecatumumab has been used in clinical studies of treatment in colorectal, prostate[2] and breast cancers. "A phase I study with adecatumumab, a human antibody directed against epithelial cell adhesion molecule, in hormone refractory prostate cancer patients". "Cellular and complement-dependent cytotoxicity of Ep-CAM-specific monoclonal antibody MT201 against breast cancer cell lines". "An open-label, randomized phase II study of adecatumumab, a fully human anti-EpCAM antibody, as monotherapy in patients with metastatic breast cancer"		
Afutuzumab[9]	CD20	humanized	MS4A1		mab	lymphoma	lymph	Blood	It was approved under the trade name Gazyva by the US FDA in 2013, and as Gazyvaro by the EMA in Europe, for the treatment of chronic lymphocytic leukemia in combination with chemotherapy in treatment-naive patients, and as a second line treatment for follicular lymphoma.Obinutuzumab is used in combination with chlorambucil as a first-line treatment for chronic lymphocytic leukemia.[2] It is also used in combination with bendamustine followed by obinutuzumab monotherapy for the treatment of patients with follicular lymphoma as a second line treatment to a regimen containing rituximab.On November 13, 2013 the US FDA approved obinutuzumab in combination with chlorambucil as a first-line treatment for chronic lymphocytic leukemia, and was the first drug with breakthrough therapy designation to gain approval.In their final recommendation of obinutuzumab, in the January 2015 Pan-Canadian Oncology Drug Review (pERC) for treatment of chronic lymphocytic leukemia, published by the Canadian Agency for Drugs and Technologies in Health, the list price of obinutuzumab provided by the manufacturer Hoffmann-La Roche was $CDN 5,275.In February 2016, obinutuzmab was approved by the FDA under the Priority Review program for use in combination with bendamustine followed by obinutuzumab monotherapy for the treatment of patients with follicular lymphoma as a secondline treatment to a regimen containing rituximab.As of 2014 clinical trials had been conducted exploring the use of obinutuzumab as a second line monotherapy in relapsed/refractory chronic lymphocytic leukemia, as a monotherapy for relapsed/refractory non-Hodgkin lymphoma in people who had high expression of CD20; and in combination with CHOP chemotherapy as a first line treatment for people with advanced CD20-positive diffuse large B-cell lymphoma.^ a b c d e f Evans SS, Clemmons AB Obinutuzumab: A Novel Anti-CD20 Monoclonal Antibody for Chronic Lymphocytic Leukemia.^ FDA approves Gazyva for chronic lymphocytic leukemia: Drug is first with breakthrough therapy designation to receive FDA approval, FDA News Release, FDA, November 13, 2013, retrieved July 20, 2015 		
Alacizumab pegol[10]	VEGFR2	humanized	KDR		F(ab')2	cancer	lung	Blood	Leukemia inhibitory factor (LIF)		
Amatuximab[14]	mesothelin	chimeric	MSLN		mab	cancer		cancer	Amatuximab is a chimeric monoclonal antibody designed for the treatment of cancer. Amatuximab is an anti-mesothelin monoclonal antibody MORAb-009 binds to mesothelin (a protein that is made by some cancer cells) and stops the cells from dividing, and also called MORAb-009.Anti-mesothelin monoclonal antibody MORAb-009 entry in the public domain NCI Dictionary of Cancer Terms		mesothelioma
Anetumab ravtansine[3]		human	MSLN		mab	cancer		Ovary, Stomach, Liver	The antibody serves to deliver the cell-killing agent specifically to cancer cells bearing its target and the payload serves to kill these cells.[8][9] In October 2015, the company disclosed that Kadcyla had failed to meet its primary endpoint in the Phase II/III GATSBY trial investigating the second line treatment of HER2-positive advanced gastric cancer.^ Phase 1 study of IMGN853, a folate receptor alpha (FRα)-targeting antibody-drug conjugate (ADC) in patients (Pts) with epithelial ovarian cancer (EOC) and other FRA-positive solid tumors.com/gen-news-highlights/roche-s-kadcyla-fails-phase-ii-iii-trial-for-gastric-cancer/81251888/		
Ascrinvacumab	activin receptor-like kinase 1	human	ACVR1C		mab	cancer		cancer	Ascrinvacumab is a monoclonal antibody designed for the treatment of cancer		
Atezolizumab[20]		humanized	CD274		mab	cancer		Colon-Small_intestine, Bladder, Skin-Head, Lung, Breast, Kidney	In April 2016 Roche announced that atezolizumab had been granted fast track status for lung cancer by the FDA.In May 2016 it was approved by the FDA for bladder cancer treatment.[3], but in May 2017 it failed phase 3 trial for second line bladder cancer.In October 2016, FDA approved atezolizumab for the treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose disease progressed during or following platinum-containing chemotherapy.For some cancers (notably bladder) the probability of benefit is related to PD-L1 expression, but most cancers with PD-L1 expression still do not respond, and many (about 15%) without PD-L1 expression do respond.As of 2016[update], it is currently in clinical trials for colorectal cancer, melanoma, breast cancer, non-small-cell lung carcinoma, bladder cancer, renal cell carcinoma.Promising results have been observed for melanoma and non-small-cell lung cancer,[citation needed] and bladder cancer.A phase 1 trial reported a 19% objective response rate in metastatic triple-negative breast cancer.^ a b "Genentech Presents Positive Results of Atezolizumab in Advanced Bladder Cancer". "Roche says FDA fast tracks atezolizumab in specific type of lung cancer".^ a b "FDA approves new, targeted treatment for bladder cancer".^ "Roche’s shocking Tecentriq fail raises red flag for bladder cancer rivals | FiercePharma".^ "FDA approves new treatment for non-small cell lung cancer". "Clinical activity and safety of cobimetinib (cobi) and atezolizumab in colorectal cancer (CRC).^ "MPDL3280A Shows Activity in Triple-Negative Breast Cancer"		
Avelumab[8]		human	CD274		mab	?		Stomach, Bladder, Skin-Head, Lung, Ovary, Kidney	Avelumab (trade name Bavencio) is a fully human monoclonal antibody developed by Merck KGaA and Pfizer and Eli Lilly and Company in Canada[citation needed] as a pharmaceutical drug for use in immunotherapy, originally for the treatment of non-small-cell lung carcinoma (NSCLC). It has received orphan drug designation by the European Medicines Agency for the treatment of gastric cancer in January 2017.[2] The US Food and Drug Administration (FDA) approved it in March 2017 for Merkel-cell carcinoma,[3] an aggressive type of skin cancer.ORR was assessed by an independent review committee according to Response Evaluation Criteria in Solid Tumors (RECIST) 1.As of May 2015, according to Merck KGaA and Pfizer, avelumab has been in Phase I clinical trials for bladder cancer, stomach cancer, head and neck cancer, mesothelioma, NSCLC, ovarian cancer and renal cancer.^ "Public summary of opinion on orphan designation: Avelumab for the treatment of gastric cancer" (PDF).^ Pfizer, Merck KGaA fourth to market with PD-1/L1 inhibitor re FDA approves first treatment for rare form of skin cancer. "Safety and tumor responses with lambrolizumab (anti-PD-1) in melanoma"		
Bavituximab[2]	phosphatidylserine	chimeric	PISD		mab	cancer, viral infections		Liver, Colon-Small_intestine, Skin-Head, Lung, Breast, Prostate, Pancreas	As of January 2016, bavituximab had been in a Phase III clinical trial for non-small cell lung cancer, a Phase II/III trial for breast cancer, a Phase II trial for pancreatic cancer, a phase I/II trial for hepatocellular carcinoma, and Phase I clinical trials in malignant melanoma and rectal cancer; its development had been discontinued for influenza and prostate cancer		
