	Name	Original target	Source	Target	Trade name	Type	Use
0	Ascrinvacumab[18]	activin receptor-like kinase 1	human	ACVR1C		mab	cancer
1	Tacatuzumab tetraxetan	alpha-fetoprotein	humanized	AFP	AFP-Cide	mab	cancer
2	Nesvacumab[107]	angiopoietin 2	human	ANGPT2		mab	cancer
3	Vanucizumab[23]	angiopoietin 2	humanized	ANGPT2		mab	cancer
4	Daratumumab[43]	CD38 (cyclic ADP ribose hydrolase)	human	BST1		mab	cancer
5	Girentuximab[43]	carbonic anhydrase 9 (CA-IX)	chimeric	CA9	Rencarex	mab	clear cell renal cell carcinoma[84]
6	Mogamulizumab[101]		humanized	CCR4		mab	cancer
7	Coltuximab ravtansine[3]		chimeric	CD19		mab	cancer
8	Denintuzumab mafodotin[23]		humanized	CD19		mab	cancer
9	Inebilizumab[8]		humanized	CD19		mab	cancer, systemic sclerosis, multiple sclerosis
10	SGN-CD19A		humanized	CD19		mab	acute lymphoblastic leukemia and B-cell non-Hodgkin lymphoma
11	Samalizumab[131]		humanized	CD200		mab	cancer
12	Epratuzumab		humanized	CD22		mab	cancer, SLE
13	Pinatuzumab vedotin[26]		humanized	CD22		mab	cancer
14	Ontuxizumab[113]	TEM1	chimeric/humanized	CD248		mab	cancer
15	Varlilumab[150]		human	CD27		mab	solid tumors and hematologic malignancies
16	Atezolizumab[20]		humanized	CD274		mab	cancer
17	Avelumab[8]		human	CD274		mab	?
18	Durvalumab[53]		human	CD274		mab	cancer
19	Enoblituzumab[61]		humanized	CD276		mab	cancer
20	Gemtuzumab ozogamicin		humanized	CD33	Mylotarg	mab	acute myelogenous leukemia
21	Lintuzumab		humanized	CD33		mab	cancer
22	SGN-CD33A		humanized	CD33		mab	Acute myeloid leukemia
23	Otlertuzumab[115]		humanized	CD37		mab	cancer
24	Tetulomab		humanized	CD37		mab	cancer[141]
25	Isatuximab[92]		chimeric	CD38		mab	cancer
26	Dacetuzumab[10]		humanized	CD40		mab	hematologic cancers
27	Lucatumumab[10]		human	CD40		mab	multiple myeloma, non-Hodgkin's lymphoma, Hodgkin's lymphoma
28	Vorsetuzumab mafodotin[151]		humanized	CD70		mab	cancer
29	Milatuzumab[10]		humanized	CD74		mab	multiple myeloma and other hematological malignancies
30	Polatuzumab vedotin[26][122]		humanized	CD79B		mab	cancer
31	Galiximab		chimeric	CD80		mab	B-cell lymphoma
32	Ticilimumab (= tremelimumab)	CTLA-4	human	CD80		mab	cancer
33	Tremelimumab	CTLA-4	human	CD80		mab	cancer
34	Emactuzumab[23]		humanized	CSF1R		mab	cancer
35	Pamrevlumab[8]		human	CTGF		mab	idiopathic pulmonary fibrosis (IPF), pancreatic cancer
36	Ipilimumab[45]	CD152	human	CTLA4	Yervoy	mab	melanoma
37	Ulocuplumab[147]	CXCR4 (CD184)	human	CXCR4		mab	hematologic malignancies
38	Demcizumab[44]		humanized	DLL4		mab	cancer
39	Tarextumab[139]	Notch receptor	human	DNER		mab	cancer
40	Derlotuximab biotin[46]	histone complex	chimeric	DPY30		mab	recurrent glioblastoma multiforme
41	Parsatuzumab[51]		human	EGFL7		mab	cancer
42	Cetuximab		chimeric	EGFR	Erbitux	mab	metastatic colorectal cancer and head and neck cancer
43	Depatuxizumab mafodotin[32]		chimeric/humanized	EGFR		mab	cancer
44	Futuximab[51]		chimeric	EGFR		mab	cancer
45	Imgatuzumab[51]		humanized	EGFR		mab	cancer
46	Matuzumab[19]		humanized	EGFR		mab	colorectal, lung and stomach cancer
47	Necitumumab[105]		human	EGFR		mab	non-small cell lung carcinoma
48	Nimotuzumab[45][108]		humanized	EGFR	Theracim, Theraloc	mab	squamous cell carcinoma, head and neck cancer, nasopharyngeal cancer, glioma
49	Panitumumab[68]		human	EGFR	Vectibix	mab	colorectal cancer
50	Zalutumumab[22]		human	EGFR	HuMax-EGFr	mab	squamous cell carcinoma of the head and neck
51	Zatuximab[51]	HER1	chimeric	EGFR		mab	cancer
52	Adecatumumab[6]	EpCAM	human	EPCAM		mab	prostate and breast cancer
53	Citatuzumab bogatox[9]	EpCAM	humanized	EPCAM		Fab	ovarian cancer and other solid tumors
54	Oportuzumab monatox[105]	EpCAM	humanized	EPCAM		scFv	cancer
55	Tucotuzumab celmoleukin[45][108]	EpCAM	humanized	EPCAM		mab	cancer
56	Ertumaxomab[22]	HER2/neu, CD3	rat/mouse hybrid	ERBB2	Rexomun	3funct	breast cancer etc.
57	Pertuzumab	HER2/neu	humanized	ERBB2	Omnitarg	mab	cancer
58	Trastuzumab	HER2/neu	humanized	ERBB2	Herceptin	mab	breast cancer
59	Trastuzumab emtansine	HER2/neu	humanized	ERBB2	Kadcyla	mab	breast cancer
60	Duligotumab[51]	ERBB3 (HER3)	human	ERBB3		mab	testicular cancer
61	Elgemtumab[20]	ERBB3 (HER3)	human	ERBB3		mab	cancer
62	Lumretuzumab[23]	ERBB3 (HER3)	humanized	ERBB3		mab	cancer
63	Patritumab[37]	ERBB3 (HER3)	human	ERBB3		mab	cancer
64	Seribantumab[26]	ERBB3 (HER3)	human	ERBB3		mab	cancer
65	Sibrotuzumab		humanized	FAP		mab	cancer
66	Lumiliximab[6]	CD23 (IgE receptor)	chimeric	FCER1G		mab	chronic lymphocytic leukemia
67	Pasotuxizumab[23]	folate hydrolase	chimeric/humanized	FOLH1		mab	cancer
68	Farletuzumab	folate receptor 1	humanized	FOLR1		mab	ovarian cancer
69	Mirvetuximab soravtansine[100]	folate receptor alpha	chimeric	FOLR1		mab	cancer
70	Codrituzumab[3]	glypican 3	humanized	GPC3		mab	cancer
