	Drug ID	Drug Name	Synonyms	Target	Target Pathway	usage	mech_action	brand_name	generic_name	tissue	evidence	gene
0	1	Erlotinib	Tarceva, RG-1415, CP-358774, OSI-774, Ro-508231, R-1415	EGFR	EGFR signaling	1. INDICATIONS AND USAGE Enter section text here TARCEVA is a tyrosine kinase inhibitor indicated for the treatment of: Locally advanced or metastatic non-small cell lung cancer (NSCLC) after failure of at least one prior chemotherapy regimen. (1.1) First-line treatment of patients with locally advanced, unresectable or metastatic pancreatic cancer, in combination with gemcitabine. (1.2) 1.1 Non-Small Cell Lung Cancer (NSCLC) TARCEVA monotherapy is indicated for the treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of at least one prior chemotherapy regimen [see Clinical Studies (14.1)]. Results from two, multicenter, placebo-controlled, randomized, Phase 3 trials conducted in first-line patients with locally advanced or metastatic NSCLC showed no clinical benefit with the concurrent administration of TARCEVA with platinum-based chemotherapy [carboplatin and paclitaxel or gemcitabine and cisplatin] and its use is not recommended in that setting [see Clinical Studies (14.3)]. 1.2 Pancreatic Cancer TARCEVA in combination with gemcitabine is indicated for the first-line treatment of patients with locally advanced, unresectable or metastatic pancreatic cancer [see Clinical Studies (14.3)].	12.1 Mechanism of Action The mechanism of clinical antitumor action of erlotinib is not fully characterized. Erlotinib inhibits the intracellular phosphorylation of tyrosine kinase associated with the epidermal growth factor receptor (EGFR). Specificity of inhibition with regard to other tyrosine kinase receptors has not been fully characterized. EGFR is expressed on the cell surface of normal cells and cancer cells.	Tarceva	ERLOTINIB HYDROCHLORIDE	Lung	 INDICATIONS AND USAGE Enter section text here TARCEVA is a tyrosine kinase inhibitor indicated for the treatment of: Locally advanced or metastatic non-small cell lung cancer (NSCLC) after failure of at least one prior chemotherapy regimen1 Non-Small Cell Lung Cancer (NSCLC) TARCEVA monotherapy is indicated for the treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of at least one prior chemotherapy regimen [see Clinical Studies (14	EGFR
1	1	Erlotinib	Tarceva, RG-1415, CP-358774, OSI-774, Ro-508231, R-1415	EGFR	EGFR signaling	1. INDICATIONS AND USAGE Enter section text here TARCEVA is a tyrosine kinase inhibitor indicated for the treatment of: Locally advanced or metastatic non-small cell lung cancer (NSCLC) after failure of at least one prior chemotherapy regimen. (1.1) First-line treatment of patients with locally advanced, unresectable or metastatic pancreatic cancer, in combination with gemcitabine. (1.2) 1.1 Non-Small Cell Lung Cancer (NSCLC) TARCEVA monotherapy is indicated for the treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of at least one prior chemotherapy regimen [see Clinical Studies (14.1)]. Results from two, multicenter, placebo-controlled, randomized, Phase 3 trials conducted in first-line patients with locally advanced or metastatic NSCLC showed no clinical benefit with the concurrent administration of TARCEVA with platinum-based chemotherapy [carboplatin and paclitaxel or gemcitabine and cisplatin] and its use is not recommended in that setting [see Clinical Studies (14.3)]. 1.2 Pancreatic Cancer TARCEVA in combination with gemcitabine is indicated for the first-line treatment of patients with locally advanced, unresectable or metastatic pancreatic cancer [see Clinical Studies (14.3)].	12.1 Mechanism of Action The mechanism of clinical antitumor action of erlotinib is not fully characterized. Erlotinib inhibits the intracellular phosphorylation of tyrosine kinase associated with the epidermal growth factor receptor (EGFR). Specificity of inhibition with regard to other tyrosine kinase receptors has not been fully characterized. EGFR is expressed on the cell surface of normal cells and cancer cells.	Tarceva	ERLOTINIB HYDROCHLORIDE	Pancreas	1) First-line treatment of patients with locally advanced, unresectable or metastatic pancreatic cancer, in combination with gemcitabine2 Pancreatic Cancer TARCEVA in combination with gemcitabine is indicated for the first-line treatment of patients with locally advanced, unresectable or metastatic pancreatic cancer [see Clinical Studies (14	EGFR
2	5	Sunitinib	Sutent, Sunitinib Malate, SU-11248	PDGFR, KIT, VEGFR, FLT3, RET, CSF1R	RTK signaling	1 INDICATIONS AND USAGE SUTENT is a kinase inhibitor indicated for the treatment of: Gastrointestinal stromal tumor (GIST) after disease progression on or intolerance to imatinib mesylate. (1.1) Advanced renal cell carcinoma (RCC). (1.2) Progressive, well-differentiated pancreatic neuroendocrine tumors (pNET) in patients with unresectable locally advanced or metastatic disease. (1.3) 1.1 Gastrointestinal Stromal Tumor (GIST) SUTENT is indicated for the treatment of gastrointestinal stromal tumor after disease progression on or intolerance to imatinib mesylate. 1.2 Advanced Renal Cell Carcinoma (RCC) SUTENT is indicated for the treatment of advanced renal cell carcinoma. 1.3 Advanced Pancreatic Neuroendocrine Tumors (pNET) SUTENT is indicated for the treatment of progressive, well-differentiated pancreatic neuroendocrine tumors in patients with unresectable locally advanced or metastatic disease.	12.1 Mechanism of Action Sunitinib is a small molecule that inhibits multiple receptor tyrosine kinases (RTKs), some of which are implicated in tumor growth, pathologic angiogenesis, and metastatic progression of cancer. Sunitinib was evaluated for its inhibitory activity against a variety of kinases (>80 kinases) and was identified as an inhibitor of platelet-derived growth factor receptors (PDGFRα and PDGFRβ), vascular endothelial growth factor receptors (VEGFR1, VEGFR2 and VEGFR3), stem cell factor receptor (KIT), Fms-like tyrosine kinase-3 (FLT3), colony stimulating factor receptor Type 1 (CSF-1R), and the glial cell-line derived neurotrophic factor receptor (RET). Sunitinib inhibition of the activity of these RTKs has been demonstrated in biochemical and cellular assays, and inhibition of function has been demonstrated in cell proliferation assays. The primary metabolite exhibits similar potency compared to sunitinib in biochemical and cellular assays. Sunitinib inhibited the phosphorylation of multiple RTKs (PDGFRβ, VEGFR2, KIT) in tumor xenografts expressing RTK targets in vivo and demonstrated inhibition of tumor growth or tumor regression and/or inhibited metastases in some experimental models of cancer. Sunitinib demonstrated the ability to inhibit growth of tumor cells expressing dysregulated target RTKs (PDGFR, RET, or KIT) in vitro and to inhibit PDGFRβ- and VEGFR2-dependent tumor angiogenesis in vivo.	SUTENT	SUNITINIB MALATE	Stomach	1 INDICATIONS AND USAGE SUTENT is a kinase inhibitor indicated for the treatment of: Gastrointestinal stromal tumor (GIST) after disease progression on or intolerance to imatinib mesylate1 Gastrointestinal Stromal Tumor (GIST) SUTENT is indicated for the treatment of gastrointestinal stromal tumor after disease progression on or intolerance to imatinib mesylate	CSF1R
3	5	Sunitinib	Sutent, Sunitinib Malate, SU-11248	PDGFR, KIT, VEGFR, FLT3, RET, CSF1R	RTK signaling	1 INDICATIONS AND USAGE SUTENT is a kinase inhibitor indicated for the treatment of: Gastrointestinal stromal tumor (GIST) after disease progression on or intolerance to imatinib mesylate. (1.1) Advanced renal cell carcinoma (RCC). (1.2) Progressive, well-differentiated pancreatic neuroendocrine tumors (pNET) in patients with unresectable locally advanced or metastatic disease. (1.3) 1.1 Gastrointestinal Stromal Tumor (GIST) SUTENT is indicated for the treatment of gastrointestinal stromal tumor after disease progression on or intolerance to imatinib mesylate. 1.2 Advanced Renal Cell Carcinoma (RCC) SUTENT is indicated for the treatment of advanced renal cell carcinoma. 1.3 Advanced Pancreatic Neuroendocrine Tumors (pNET) SUTENT is indicated for the treatment of progressive, well-differentiated pancreatic neuroendocrine tumors in patients with unresectable locally advanced or metastatic disease.	12.1 Mechanism of Action Sunitinib is a small molecule that inhibits multiple receptor tyrosine kinases (RTKs), some of which are implicated in tumor growth, pathologic angiogenesis, and metastatic progression of cancer. Sunitinib was evaluated for its inhibitory activity against a variety of kinases (>80 kinases) and was identified as an inhibitor of platelet-derived growth factor receptors (PDGFRα and PDGFRβ), vascular endothelial growth factor receptors (VEGFR1, VEGFR2 and VEGFR3), stem cell factor receptor (KIT), Fms-like tyrosine kinase-3 (FLT3), colony stimulating factor receptor Type 1 (CSF-1R), and the glial cell-line derived neurotrophic factor receptor (RET). Sunitinib inhibition of the activity of these RTKs has been demonstrated in biochemical and cellular assays, and inhibition of function has been demonstrated in cell proliferation assays. The primary metabolite exhibits similar potency compared to sunitinib in biochemical and cellular assays. Sunitinib inhibited the phosphorylation of multiple RTKs (PDGFRβ, VEGFR2, KIT) in tumor xenografts expressing RTK targets in vivo and demonstrated inhibition of tumor growth or tumor regression and/or inhibited metastases in some experimental models of cancer. Sunitinib demonstrated the ability to inhibit growth of tumor cells expressing dysregulated target RTKs (PDGFR, RET, or KIT) in vitro and to inhibit PDGFRβ- and VEGFR2-dependent tumor angiogenesis in vivo.	SUTENT	SUNITINIB MALATE	Stomach	1 INDICATIONS AND USAGE SUTENT is a kinase inhibitor indicated for the treatment of: Gastrointestinal stromal tumor (GIST) after disease progression on or intolerance to imatinib mesylate1 Gastrointestinal Stromal Tumor (GIST) SUTENT is indicated for the treatment of gastrointestinal stromal tumor after disease progression on or intolerance to imatinib mesylate	RET
4	5	Sunitinib	Sutent, Sunitinib Malate, SU-11248	PDGFR, KIT, VEGFR, FLT3, RET, CSF1R	RTK signaling	1 INDICATIONS AND USAGE SUTENT is a kinase inhibitor indicated for the treatment of: Gastrointestinal stromal tumor (GIST) after disease progression on or intolerance to imatinib mesylate. (1.1) Advanced renal cell carcinoma (RCC). (1.2) Progressive, well-differentiated pancreatic neuroendocrine tumors (pNET) in patients with unresectable locally advanced or metastatic disease. (1.3) 1.1 Gastrointestinal Stromal Tumor (GIST) SUTENT is indicated for the treatment of gastrointestinal stromal tumor after disease progression on or intolerance to imatinib mesylate. 1.2 Advanced Renal Cell Carcinoma (RCC) SUTENT is indicated for the treatment of advanced renal cell carcinoma. 1.3 Advanced Pancreatic Neuroendocrine Tumors (pNET) SUTENT is indicated for the treatment of progressive, well-differentiated pancreatic neuroendocrine tumors in patients with unresectable locally advanced or metastatic disease.	12.1 Mechanism of Action Sunitinib is a small molecule that inhibits multiple receptor tyrosine kinases (RTKs), some of which are implicated in tumor growth, pathologic angiogenesis, and metastatic progression of cancer. Sunitinib was evaluated for its inhibitory activity against a variety of kinases (>80 kinases) and was identified as an inhibitor of platelet-derived growth factor receptors (PDGFRα and PDGFRβ), vascular endothelial growth factor receptors (VEGFR1, VEGFR2 and VEGFR3), stem cell factor receptor (KIT), Fms-like tyrosine kinase-3 (FLT3), colony stimulating factor receptor Type 1 (CSF-1R), and the glial cell-line derived neurotrophic factor receptor (RET). Sunitinib inhibition of the activity of these RTKs has been demonstrated in biochemical and cellular assays, and inhibition of function has been demonstrated in cell proliferation assays. The primary metabolite exhibits similar potency compared to sunitinib in biochemical and cellular assays. Sunitinib inhibited the phosphorylation of multiple RTKs (PDGFRβ, VEGFR2, KIT) in tumor xenografts expressing RTK targets in vivo and demonstrated inhibition of tumor growth or tumor regression and/or inhibited metastases in some experimental models of cancer. Sunitinib demonstrated the ability to inhibit growth of tumor cells expressing dysregulated target RTKs (PDGFR, RET, or KIT) in vitro and to inhibit PDGFRβ- and VEGFR2-dependent tumor angiogenesis in vivo.	SUTENT	SUNITINIB MALATE	Stomach	1 INDICATIONS AND USAGE SUTENT is a kinase inhibitor indicated for the treatment of: Gastrointestinal stromal tumor (GIST) after disease progression on or intolerance to imatinib mesylate1 Gastrointestinal Stromal Tumor (GIST) SUTENT is indicated for the treatment of gastrointestinal stromal tumor after disease progression on or intolerance to imatinib mesylate	KIT
5	5	Sunitinib	Sutent, Sunitinib Malate, SU-11248	PDGFR, KIT, VEGFR, FLT3, RET, CSF1R	RTK signaling	1 INDICATIONS AND USAGE SUTENT is a kinase inhibitor indicated for the treatment of: Gastrointestinal stromal tumor (GIST) after disease progression on or intolerance to imatinib mesylate. (1.1) Advanced renal cell carcinoma (RCC). (1.2) Progressive, well-differentiated pancreatic neuroendocrine tumors (pNET) in patients with unresectable locally advanced or metastatic disease. (1.3) 1.1 Gastrointestinal Stromal Tumor (GIST) SUTENT is indicated for the treatment of gastrointestinal stromal tumor after disease progression on or intolerance to imatinib mesylate. 1.2 Advanced Renal Cell Carcinoma (RCC) SUTENT is indicated for the treatment of advanced renal cell carcinoma. 1.3 Advanced Pancreatic Neuroendocrine Tumors (pNET) SUTENT is indicated for the treatment of progressive, well-differentiated pancreatic neuroendocrine tumors in patients with unresectable locally advanced or metastatic disease.	12.1 Mechanism of Action Sunitinib is a small molecule that inhibits multiple receptor tyrosine kinases (RTKs), some of which are implicated in tumor growth, pathologic angiogenesis, and metastatic progression of cancer. Sunitinib was evaluated for its inhibitory activity against a variety of kinases (>80 kinases) and was identified as an inhibitor of platelet-derived growth factor receptors (PDGFRα and PDGFRβ), vascular endothelial growth factor receptors (VEGFR1, VEGFR2 and VEGFR3), stem cell factor receptor (KIT), Fms-like tyrosine kinase-3 (FLT3), colony stimulating factor receptor Type 1 (CSF-1R), and the glial cell-line derived neurotrophic factor receptor (RET). Sunitinib inhibition of the activity of these RTKs has been demonstrated in biochemical and cellular assays, and inhibition of function has been demonstrated in cell proliferation assays. The primary metabolite exhibits similar potency compared to sunitinib in biochemical and cellular assays. Sunitinib inhibited the phosphorylation of multiple RTKs (PDGFRβ, VEGFR2, KIT) in tumor xenografts expressing RTK targets in vivo and demonstrated inhibition of tumor growth or tumor regression and/or inhibited metastases in some experimental models of cancer. Sunitinib demonstrated the ability to inhibit growth of tumor cells expressing dysregulated target RTKs (PDGFR, RET, or KIT) in vitro and to inhibit PDGFRβ- and VEGFR2-dependent tumor angiogenesis in vivo.	SUTENT	SUNITINIB MALATE	Stomach	1 INDICATIONS AND USAGE SUTENT is a kinase inhibitor indicated for the treatment of: Gastrointestinal stromal tumor (GIST) after disease progression on or intolerance to imatinib mesylate1 Gastrointestinal Stromal Tumor (GIST) SUTENT is indicated for the treatment of gastrointestinal stromal tumor after disease progression on or intolerance to imatinib mesylate	FLT4
6	5	Sunitinib	Sutent, Sunitinib Malate, SU-11248	PDGFR, KIT, VEGFR, FLT3, RET, CSF1R	RTK signaling	1 INDICATIONS AND USAGE SUTENT is a kinase inhibitor indicated for the treatment of: Gastrointestinal stromal tumor (GIST) after disease progression on or intolerance to imatinib mesylate. (1.1) Advanced renal cell carcinoma (RCC). (1.2) Progressive, well-differentiated pancreatic neuroendocrine tumors (pNET) in patients with unresectable locally advanced or metastatic disease. (1.3) 1.1 Gastrointestinal Stromal Tumor (GIST) SUTENT is indicated for the treatment of gastrointestinal stromal tumor after disease progression on or intolerance to imatinib mesylate. 1.2 Advanced Renal Cell Carcinoma (RCC) SUTENT is indicated for the treatment of advanced renal cell carcinoma. 1.3 Advanced Pancreatic Neuroendocrine Tumors (pNET) SUTENT is indicated for the treatment of progressive, well-differentiated pancreatic neuroendocrine tumors in patients with unresectable locally advanced or metastatic disease.	12.1 Mechanism of Action Sunitinib is a small molecule that inhibits multiple receptor tyrosine kinases (RTKs), some of which are implicated in tumor growth, pathologic angiogenesis, and metastatic progression of cancer. Sunitinib was evaluated for its inhibitory activity against a variety of kinases (>80 kinases) and was identified as an inhibitor of platelet-derived growth factor receptors (PDGFRα and PDGFRβ), vascular endothelial growth factor receptors (VEGFR1, VEGFR2 and VEGFR3), stem cell factor receptor (KIT), Fms-like tyrosine kinase-3 (FLT3), colony stimulating factor receptor Type 1 (CSF-1R), and the glial cell-line derived neurotrophic factor receptor (RET). Sunitinib inhibition of the activity of these RTKs has been demonstrated in biochemical and cellular assays, and inhibition of function has been demonstrated in cell proliferation assays. The primary metabolite exhibits similar potency compared to sunitinib in biochemical and cellular assays. Sunitinib inhibited the phosphorylation of multiple RTKs (PDGFRβ, VEGFR2, KIT) in tumor xenografts expressing RTK targets in vivo and demonstrated inhibition of tumor growth or tumor regression and/or inhibited metastases in some experimental models of cancer. Sunitinib demonstrated the ability to inhibit growth of tumor cells expressing dysregulated target RTKs (PDGFR, RET, or KIT) in vitro and to inhibit PDGFRβ- and VEGFR2-dependent tumor angiogenesis in vivo.	SUTENT	SUNITINIB MALATE	Stomach	1 INDICATIONS AND USAGE SUTENT is a kinase inhibitor indicated for the treatment of: Gastrointestinal stromal tumor (GIST) after disease progression on or intolerance to imatinib mesylate1 Gastrointestinal Stromal Tumor (GIST) SUTENT is indicated for the treatment of gastrointestinal stromal tumor after disease progression on or intolerance to imatinib mesylate	PDGFRL
7	5	Sunitinib	Sutent, Sunitinib Malate, SU-11248	PDGFR, KIT, VEGFR, FLT3, RET, CSF1R	RTK signaling	1 INDICATIONS AND USAGE SUTENT is a kinase inhibitor indicated for the treatment of: Gastrointestinal stromal tumor (GIST) after disease progression on or intolerance to imatinib mesylate. (1.1) Advanced renal cell carcinoma (RCC). (1.2) Progressive, well-differentiated pancreatic neuroendocrine tumors (pNET) in patients with unresectable locally advanced or metastatic disease. (1.3) 1.1 Gastrointestinal Stromal Tumor (GIST) SUTENT is indicated for the treatment of gastrointestinal stromal tumor after disease progression on or intolerance to imatinib mesylate. 1.2 Advanced Renal Cell Carcinoma (RCC) SUTENT is indicated for the treatment of advanced renal cell carcinoma. 1.3 Advanced Pancreatic Neuroendocrine Tumors (pNET) SUTENT is indicated for the treatment of progressive, well-differentiated pancreatic neuroendocrine tumors in patients with unresectable locally advanced or metastatic disease.	12.1 Mechanism of Action Sunitinib is a small molecule that inhibits multiple receptor tyrosine kinases (RTKs), some of which are implicated in tumor growth, pathologic angiogenesis, and metastatic progression of cancer. Sunitinib was evaluated for its inhibitory activity against a variety of kinases (>80 kinases) and was identified as an inhibitor of platelet-derived growth factor receptors (PDGFRα and PDGFRβ), vascular endothelial growth factor receptors (VEGFR1, VEGFR2 and VEGFR3), stem cell factor receptor (KIT), Fms-like tyrosine kinase-3 (FLT3), colony stimulating factor receptor Type 1 (CSF-1R), and the glial cell-line derived neurotrophic factor receptor (RET). Sunitinib inhibition of the activity of these RTKs has been demonstrated in biochemical and cellular assays, and inhibition of function has been demonstrated in cell proliferation assays. The primary metabolite exhibits similar potency compared to sunitinib in biochemical and cellular assays. Sunitinib inhibited the phosphorylation of multiple RTKs (PDGFRβ, VEGFR2, KIT) in tumor xenografts expressing RTK targets in vivo and demonstrated inhibition of tumor growth or tumor regression and/or inhibited metastases in some experimental models of cancer. Sunitinib demonstrated the ability to inhibit growth of tumor cells expressing dysregulated target RTKs (PDGFR, RET, or KIT) in vitro and to inhibit PDGFRβ- and VEGFR2-dependent tumor angiogenesis in vivo.	SUTENT	SUNITINIB MALATE	Stomach	1 INDICATIONS AND USAGE SUTENT is a kinase inhibitor indicated for the treatment of: Gastrointestinal stromal tumor (GIST) after disease progression on or intolerance to imatinib mesylate1 Gastrointestinal Stromal Tumor (GIST) SUTENT is indicated for the treatment of gastrointestinal stromal tumor after disease progression on or intolerance to imatinib mesylate	FLT3
8	5	Sunitinib	Sutent, Sunitinib Malate, SU-11248	PDGFR, KIT, VEGFR, FLT3, RET, CSF1R	RTK signaling	1 INDICATIONS AND USAGE SUTENT is a kinase inhibitor indicated for the treatment of: Gastrointestinal stromal tumor (GIST) after disease progression on or intolerance to imatinib mesylate. (1.1) Advanced renal cell carcinoma (RCC). (1.2) Progressive, well-differentiated pancreatic neuroendocrine tumors (pNET) in patients with unresectable locally advanced or metastatic disease. (1.3) 1.1 Gastrointestinal Stromal Tumor (GIST) SUTENT is indicated for the treatment of gastrointestinal stromal tumor after disease progression on or intolerance to imatinib mesylate. 1.2 Advanced Renal Cell Carcinoma (RCC) SUTENT is indicated for the treatment of advanced renal cell carcinoma. 1.3 Advanced Pancreatic Neuroendocrine Tumors (pNET) SUTENT is indicated for the treatment of progressive, well-differentiated pancreatic neuroendocrine tumors in patients with unresectable locally advanced or metastatic disease.	12.1 Mechanism of Action Sunitinib is a small molecule that inhibits multiple receptor tyrosine kinases (RTKs), some of which are implicated in tumor growth, pathologic angiogenesis, and metastatic progression of cancer. Sunitinib was evaluated for its inhibitory activity against a variety of kinases (>80 kinases) and was identified as an inhibitor of platelet-derived growth factor receptors (PDGFRα and PDGFRβ), vascular endothelial growth factor receptors (VEGFR1, VEGFR2 and VEGFR3), stem cell factor receptor (KIT), Fms-like tyrosine kinase-3 (FLT3), colony stimulating factor receptor Type 1 (CSF-1R), and the glial cell-line derived neurotrophic factor receptor (RET). Sunitinib inhibition of the activity of these RTKs has been demonstrated in biochemical and cellular assays, and inhibition of function has been demonstrated in cell proliferation assays. The primary metabolite exhibits similar potency compared to sunitinib in biochemical and cellular assays. Sunitinib inhibited the phosphorylation of multiple RTKs (PDGFRβ, VEGFR2, KIT) in tumor xenografts expressing RTK targets in vivo and demonstrated inhibition of tumor growth or tumor regression and/or inhibited metastases in some experimental models of cancer. Sunitinib demonstrated the ability to inhibit growth of tumor cells expressing dysregulated target RTKs (PDGFR, RET, or KIT) in vitro and to inhibit PDGFRβ- and VEGFR2-dependent tumor angiogenesis in vivo.	SUTENT	SUNITINIB MALATE	Kidney	1) Advanced renal cell carcinoma (RCC)2 Advanced Renal Cell Carcinoma (RCC) SUTENT is indicated for the treatment of advanced renal cell carcinoma	CSF1R
9	5	Sunitinib	Sutent, Sunitinib Malate, SU-11248	PDGFR, KIT, VEGFR, FLT3, RET, CSF1R	RTK signaling	1 INDICATIONS AND USAGE SUTENT is a kinase inhibitor indicated for the treatment of: Gastrointestinal stromal tumor (GIST) after disease progression on or intolerance to imatinib mesylate. (1.1) Advanced renal cell carcinoma (RCC). (1.2) Progressive, well-differentiated pancreatic neuroendocrine tumors (pNET) in patients with unresectable locally advanced or metastatic disease. (1.3) 1.1 Gastrointestinal Stromal Tumor (GIST) SUTENT is indicated for the treatment of gastrointestinal stromal tumor after disease progression on or intolerance to imatinib mesylate. 1.2 Advanced Renal Cell Carcinoma (RCC) SUTENT is indicated for the treatment of advanced renal cell carcinoma. 1.3 Advanced Pancreatic Neuroendocrine Tumors (pNET) SUTENT is indicated for the treatment of progressive, well-differentiated pancreatic neuroendocrine tumors in patients with unresectable locally advanced or metastatic disease.	12.1 Mechanism of Action Sunitinib is a small molecule that inhibits multiple receptor tyrosine kinases (RTKs), some of which are implicated in tumor growth, pathologic angiogenesis, and metastatic progression of cancer. Sunitinib was evaluated for its inhibitory activity against a variety of kinases (>80 kinases) and was identified as an inhibitor of platelet-derived growth factor receptors (PDGFRα and PDGFRβ), vascular endothelial growth factor receptors (VEGFR1, VEGFR2 and VEGFR3), stem cell factor receptor (KIT), Fms-like tyrosine kinase-3 (FLT3), colony stimulating factor receptor Type 1 (CSF-1R), and the glial cell-line derived neurotrophic factor receptor (RET). Sunitinib inhibition of the activity of these RTKs has been demonstrated in biochemical and cellular assays, and inhibition of function has been demonstrated in cell proliferation assays. The primary metabolite exhibits similar potency compared to sunitinib in biochemical and cellular assays. Sunitinib inhibited the phosphorylation of multiple RTKs (PDGFRβ, VEGFR2, KIT) in tumor xenografts expressing RTK targets in vivo and demonstrated inhibition of tumor growth or tumor regression and/or inhibited metastases in some experimental models of cancer. Sunitinib demonstrated the ability to inhibit growth of tumor cells expressing dysregulated target RTKs (PDGFR, RET, or KIT) in vitro and to inhibit PDGFRβ- and VEGFR2-dependent tumor angiogenesis in vivo.	SUTENT	SUNITINIB MALATE	Kidney	1) Advanced renal cell carcinoma (RCC)2 Advanced Renal Cell Carcinoma (RCC) SUTENT is indicated for the treatment of advanced renal cell carcinoma	RET
