sample	samples	B:>0.6	EGFR	(average)	EGFR	chr7:55086725-55087058:+	chr7:55209979-55210130:+	chr7:55210998-55211181:+	chr7:55214299-55214433:+	chr7:55218987-55219055:+	chr7:55220083-55220357:+	chr7:55221704-55221845:+	chr7:55223523-55223639:+	chr7:55224226-55224352:+	chr7:55224452-55224642:+	chr7:55225356-55225446:+	chr7:55227832-55228031:+	chr7:55229192-55229324:+	chr7:55231426-55231516:+	chr7:55232973-55233842:+	chr7:55236216-55236327:+	chr7:55238000-55238737:+	chr7:55238868-55238906:+	chr7:55240676-55240817:+	chr7:55241614-55241736:+	chr7:55242415-55242513:+	chr7:55248986-55249171:+	chr7:55259412-55259567:+	chr7:55260459-55260534:+	chr7:55266410-55266556:+	chr7:55268009-55268106:+	chr7:55268881-55269048:+	chr7:55269428-55269475:+	chr7:55270210-55270768:+	chr7:55272949-55275030:+	B:frame	OR	nonsense	OR	missense
TCGA-78-7147-01	TCGA-78-7147-01	true	0.7007	11.7292	1.5596	3.2358	3.508	3.6284	4.1544	2.6953	3.7388	3.5481	4.013	3.0648	4.2382	3.9472	4.213	4.5034	2.2171	0.1716	0.0937	4.6609	4.132	4.1805	4.5935	4.4409	4.8473	4.961	4.7092	5.3743	5.3806	5.6832	2.7934	5.5273	true
TCGA-78-7155-01	TCGA-78-7155-01	true	0.8471	6.5661	0	0.386	0.397	0.1195	0	0.1174	0.1138	0.137	0.9395	0.5132	0.5969	0.4937	0.3368	0.4692	0.1293	0	0	0.3773	0.2193	0.361	1.2709	0.8598	1.1829	0.8213	0.9647	1.1306	1.4143	1.433	0.4598	1.3028	true
TCGA-69-7760-01	TCGA-69-7760-01	true	1.2713	12.2471	2.1623	4.1583	4.6066	4.8296	5.2156	3.537	4.5875	4.3531	4.8966	3.9928	5.2563	4.9378	4.907	5.0966	2.5681	0.4251	0.1084	5.187	4.5835	4.641	5.0564	5.0482	5.2467	5.4404	5.3534	5.803	5.6005	6.0783	3.3261	5.6053	true
TCGA-44-A4SU-01	TCGA-44-A4SU-01	true	0.7204	11.3803	1.3546	3.0481	3.3707	3.6005	4.089	2.7099	3.8357	3.5986	3.5193	2.5275	3.9419	3.5999	4.0521	4.3596	2.0199	0	0.0554	4.6905	3.9822	3.7808	4.2218	4.1832	4.3041	4.302	4.2982	4.8767	4.8704	5.3212	2.6609	4.7435	true
TCGA-55-A48Z-01	TCGA-55-A48Z-01	true	0.7177	11.8275	2.2248	3.7013	4.1331	4.1382	4.495	3.0522	4.1347	4.0705	4.287	3.2011	4.488	4.2961	4.404	4.7234	2.2947	0.0979	0.2661	4.8798	4.3261	4.1863	4.5733	4.5521	4.8423	5.0483	4.7583	5.4095	5.2007	5.5763	2.9341	5.3103	true
TCGA-38-6178-01	TCGA-38-6178-01	true	1.7436	13.7784	4.7391	6.2827	6.5915	6.8442	7.3112	5.6919	6.794	6.6358	6.8051	5.7761	7.0552	6.729	7.0714	7.55	4.7408	0	0.0852	7.7065	6.8856	6.7616	6.511	7.1214	7.2787	7.3897	7.2776	7.7212	7.5358	7.8632	5.0792	7.0983	true
TCGA-86-8074-01	TCGA-86-8074-01	true	1.2229	12.0898	2.9023	4.5941	4.9197	4.9412	5.2492	3.7496	4.9015	4.567	4.9626	4.1332	5.4889	5.0614	5.3057	5.6795	3.0415	0	0.1458	5.7745	5.036	4.9404	5.006	5.2283	5.4547	5.647	5.5885	6.0658	5.7911	6.0577	3.4187	5.5683	true
TCGA-97-8547-01	TCGA-97-8547-01	true	0.6017	11.2973	2.3149	3.6899	4.0563	4.2577	4.716	3.2222	4.1295	4.0799	4.0425	3.1326	4.2058	4.105	4.2635	4.5955	2.2222	0	0.1219	4.8264	4.0114	3.7194	3.951	4.2093	4.5463	4.4414	4.4175	5.0908	4.8682	5.4001	2.6996	4.6032	true
TCGA-J2-8192-01	TCGA-J2-8192-01	true	0.6546	11.8827	2.2252	4.2532	4.661	4.751	5.0812	3.4686	4.4429	4.267	4.7103	3.8681	5.2052	4.712	4.8976	5.2344	2.7135	0.0717	0.1684	5.3972	4.6349	4.5949	4.3367	4.8624	5.1652	5.3853	5.397	5.843	5.5118	5.8216	3.0853	5.3097	true
TCGA-55-6981-01	TCGA-55-6981-01	true	1.6063	13.2372	3.9616	5.5043	5.7641	5.9791	6.3917	4.887	5.7861	5.6568	5.8332	4.8081	6.0717	5.8121	6.2139	6.5892	3.9827	0.3478	0.7507	6.7994	5.9481	5.8847	6.1991	6.0746	6.3249	6.5911	6.4358	6.9182	6.8299	7.2665	4.4878	6.631	true
TCGA-05-4402-01	TCGA-05-4402-01	true	1.2563	11.9245	1.4958	3.5243	4.0679	4.348	4.7114	3.3226	4.4007	4.2646	4.3394	3.5053	4.5096	4.2674	4.6896	5.0159	2.5958	0.0513	0.0696	5.4602	4.6879	4.577	4.0059	4.6192	5.0009	5.0396	5.0544	5.5156	5.4725	5.7868	3.0857	5.4494	true
TCGA-50-6591-01	TCGA-50-6591-01	true	2.367114302855771	14.5562	5.1995	6.8686	7.0342	7.2549	7.7463	6.1181	7.1708	6.9762	7.364	6.3427	7.6629	7.2888	7.7042	8.0384	5.3259	0.671	1.5594	8.2943	7.4537	7.3555	7.0756	7.3801	7.8273	8.0997	8.0236	8.4784	8.257	8.6158	5.7643	7.9716	true
TCGA-50-6673-01	TCGA-50-6673-01	true	1.1546	13.0712	3.7741	5.3489	5.445	5.6021	6.065	4.4898	5.555	5.452	5.7108	4.7579	6.0439	5.7577	6.0477	6.3783	3.602	0	0.2025	6.4899	5.7141	5.7761	6.2135	6.0514	6.1263	6.3245	6.1723	6.748	6.6679	6.9653	4.1317	6.331	true
